순번,회사명,공장대표주소,업종명,생산품,전화번호,팩스번호
91,(주)국성테크,"경상남도 창원시 성산구 연덕로15번길 68 (웅남동, 기흥F&T)",유압기기 제조업,유압기계(유압유니크),055-277-6596,055-288-3825
92,(주)국심,경상남도 창원시 마산합포구 진북면 학동로 383,기타 곡물 가공품 제조업,국심미,055-224-0609,055-224-0236
93,(주)굿히트,경상남도 창원시 성산구 성주로97번길 28 (남산동),산업용 난방보일러 및 방열기 제조업,"보일러, 카본히터, 열교환기",055-264-9100,055-264-9203
94,(주)그린테크,경상남도 창원시 마산회원구 봉암공단11길 69-4 (봉암동),특수 직물 및 기타 직물 직조업,토목보강재(지오그리드),055-282-3575,055-282-3639
95,(주)극동라이텍,경상남도 창원시 의창구 평산로38번길 18 (팔용동),변압기 제조업,트랜스,055-296-3600,055-296-4200
96,(주)극동목재산업,경상남도 창원시 마산합포구 가포신항남로 44 (가포동),표면 가공 목재 및 특정 목적용 제재목 제조업,화물상자,055-295-6657,055-297-6766
97,(주)극동시스템,경상남도 창원시 마산회원구 내서읍 광려천북로 34 외 3필지,배전반 및 전기 자동제어반 제조업,"배전반,전기자동제어반",055-294-3823,055-296-9920
98,(주)극동시스템,"경상남도 창원시 마산회원구 팔용로 33 (양덕동, 소매점)",배전반 및 전기 자동제어반 제조업,"배전반, 전기자동제어반",055-253-8944,055-296-9920
99,(주)글로리아,경상남도 창원시 의창구 대산면 주남로327번길 35-17 (주식회사글로리아),기타 물품 취급장비 제조업,초중량물이동시스템,055-287-7627,055-287-7626
100,(주)글로벌신화,경상남도 창원시 의창구 대산면 가술리 666-1번지,금속탱크 및 저장용기 제조업 외 45 종,금속탱크 및 저장용기,055-283-9452,055-296-3047
101,(주)글로벌코딩연구소,"경상남도 창원시 마산합포구 3·15대로 298, 406호 (서성동)",그 외 기타 전자부품 제조업 외 2 종,그 외 기타 전자부품 제조업,070-8830-9000,
102,(주)금강기공,"경상남도 창원시 의창구 팔용로346번길 2 (팔용동, (주)금강기공)",기타 가공 공작기계 제조업 외 4 종,"WHEEL,CAGE,WORM등",055-295-1171,055-295-1135
103,(주)금강인슐텍,경상남도 창원시 마산합포구 진북면 농공단지로 52 (금강인슐텍) 외 1필지,암면 및 유사제품 제조업 외 1 종,MINERAL WOOL 가공품(판상 및 원통 단면 방습재 부착),055-276-4820,055-271-9803
104,(주)금강테크,경상남도 창원시 마산회원구 봉암공단6길 9 (봉암동),구조용 금속 판제품 및 공작물 제조업,엘리베이트부품,055-252-6985,055-252-6986
105,(주)금광이엔지,경상남도 창원시 의창구 대산면 가술산남로 8-9,광물처리 및 취급장비 제조업,파쇄기,055-252-4850,055-252-4840
106,(주)금구,"경상남도 창원시 성산구 공단로21번길 47 (신촌동, (주)금구)",금속 열처리업,금속열처리,055-275-5378,055-275-5387
107,(주)금농,경상남도 창원시 의창구 대산면 대산북로 682,"천막, 텐트 및 유사 제품 제조업",차광막,,055-293-9316
108,(주)금성,"경상남도 창원시 성산구 정동로62번길 88-12 (성주동, 오영공업사)",공기 조화장치 제조업,에어컨공기조절장치,,
109,(주)금성테크,"경상남도 창원시 성산구 완암로 50, 테크동 9층 904 (성산동, SK테크노파크)",농업 및 임업용 기계 제조업,농업용 기계,,
110,(주)금아금속,"경상남도 창원시 성산구 정동로62번길 82 (성주동, (주)금아금속)",자동차 차체용 신품 부품 제조업 외 4 종,에어컨부품,055-275-3204,055-275-3207
111,(주)금아스틸,경상남도 창원시 성산구 웅남로795번길 14 (남산동) (총 3 필지) 외 2필지,그 외 기타 1차 철강 제조업,철판,055-267-1619,055-267-1630
112,(주)금아스틸,"경상남도 창원시 성산구 성산패총로38번길 3 (성산동, (주)금아스틸)",그 외 기타 1차 철강 제조업,철강재가공품,055-267-1620,055-267-1630
113,(주)금아하이드파워,경상남도 창원시 성산구 공단로166번길 13-51 (신촌동),유압기기 제조업 외 13 종,"유압펌프, 실린더, 유압밸브류, 무선장비",055-286-9316,055-286-9322
114,(주)금아하이드파워,경상남도 창원시 의창구 차룡로 20 (팔용동),유압기기 제조업,유압기기,055-286-9316,055-286-9322
115,(주)금아하이드파워 기술연구소,경상남도 창원시 의창구 평산로 16 (팔용동),유압기기 제조업 외 12 종,엔진부품,055-826-9316,055-286-9322
116,(주)금아하이텍,경상남도 창원시 의창구 북면 운무로 601,금속 절삭기계 제조업,금속절삭 가공품,,055-723-3376
117,(주)금영,경상남도 창원시 마산합포구 진북면 대티3길 85,그 외 기타 금속가공업 외 3 종,"금속포밍보강제, 강화합성목재",055-271-0113,055-271-2889
118,(주)금영 제2공장,경상남도 창원시 마산합포구 진북면 대티리 569번지 외 8필지,그 외 기타 금속가공업 외 2 종,"창문, 창틀",055-271-0113,055-271-2889
119,(주)금오전기,"경상남도 창원시 성산구 완암로 50, 메카동 6층 616 (성산동, SK테크노파크)",전구 및 램프 제조업,LED투광기 등,055-264-5901,055-264-5903
120,(주)금진실업,경상남도 창원시 마산합포구 진북면 대티3길 90,그 외 기타 금속가공업,발포문틀보강재 및 PVC창호보강재 철판가공,18992125,18992127
121,(주)금화테크,경상남도 창원시 마산회원구 봉암공단3길 76 (봉암동),절삭가공 및 유사처리업 외 7 종,CROSS DRILL UNIT ,055-299-8600,055-299-6315
122,(주)기선,"경상남도 창원시 성산구 완암로 50, 테크동 1007호 (성산동, SK테크노파크)",전동기 및 발전기 제조업,발전기세트,055-521-1523,
123,(주)기성엔지니어링 (창원지점),경상남도 창원시 의창구 차룡단지로 37 (팔용동),기타 가공 공작기계 제조업,기계부품,055-298-5178,055-298-5179
124,(주)기영테크,경상남도 창원시 진해구 남영로564번길 22 (남양동),산업용 트럭 및 적재기 제조업,산업용트럭 적재기,055-546-5770,055-546-5771
125,(주)기현산업,경상남도 창원시 진해구 웅천서로41번길 84 (제덕동),그 외 자동차용 신품 부품 제조업 외 3 종,자동차조향장치,055-261-5262,055-261-5263
126,(주)기홍,경상남도 창원시 마산회원구 봉암공단6길 51 (봉암동),절삭가공 및 유사처리업,"지그, 치공구, 해당부품가공",055-274-3120,055-274-3121
127,(주)길상엔지니어링,"경상남도 창원시 성산구 완암로 50, 메카동 8층 801호 (성산동, SK테크노파크)",금속 열처리업,열처리기기(기자재),055-278-8772,055-264-4689
128,(주)길호철강,경상남도 창원시 마산합포구 가포동 682번지,구조용 금속 판제품 및 공작물 제조업,구조용 금속 판제품 및 공작물 제조업,,055-582-0521
129,(주)나노에코,"경상남도 창원시 성산구 완암로 50, 테크동 10층 1010 (성산동, SK테크노파크) 테크동 10층 1010호",그 외 기타 플라스틱 제품 제조업,"비반사,발수가능 나노필름",055-264-2371,055-262-2372
130,(주)나눅스케미칼,경상남도 창원시 마산회원구 자유무역3길 88 (양덕동),합성수지 및 기타 플라스틱 물질 제조업 외 3 종,수성접착제,055-290-1900,
131,(주)나눔푸드,"경상남도 창원시 의창구 동읍 신방로39번길 57, 외 2필지",그 외 기타 식료품 제조업,"젓갈, 반찬류",055-291-2995,055-255-2998
132,(주)나라물산,경상남도 창원시 의창구 대산면 주남로 403,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종","패널, 화장실칸막이, 차양, 막구조물, 금속재창호, 금속재기타울타리 등",055-261-6241,055-264-8347
133,(주)나래에프에이씨,"경상남도 창원시 성산구 반월로 61-44 (신촌동, 나래FAC)",배전반 및 전기 자동제어반 제조업 외 1 종,"자동제어설계 및 구조물 제작, ",055-286-6061,055-286-6064
134,(주)나래에프에이씨,경상남도 창원시 의창구 대산면 가술리 700-4번지,기타 구조용 금속제품 제조업 외 1 종,"용접구조물(베드,칼럼 등), 태양력발전(전기)",055-286-6061,055-286-6064
135,(주)나산전기산업,경상남도 창원시 의창구 대산면 주남로503번길 42,산업처리공정 제어장비 제조업 외 7 종,전자기측정 및 제어장치,055-291-6887,055-250-6149
136,(주)나산전기산업 2공장,경상남도 창원시 의창구 대산면 봉강가술로537번길 6,배전반 및 전기 자동제어반 제조업 외 5 종,"자동제어반, 수질분석기, 인버터, 프로세스제어반, 재풍전배터리제조",055-291-6887,055-250-6149
137,(주)나올,"경상남도 창원시 성산구 완암로 50, 테크동 B1층 114호 (성산동, SK테크노파크)","산업용 오븐, 노 및 노용 버너 제조업 외 1 종",공업용 로 및 플랜트,055-335-1817,055-342-8075
138,(주)나이맥 창원공장,경상남도 창원시 의창구 차룡단지로 109 (팔용동),내연기관 제조업,선박엔진용 공기압력용기,055-293-6010,055-293-4186
139,(주)남경,경상남도 창원시 의창구 차룡로14번길 17 (팔용동),그 외 기타 전자부품 제조업,에어컨용 DISPALY PCB,055-250-4021,055-293-1472
140,(주)남부,경상남도 창원시 의창구 평산로78번길 12 (팔용동),수동식 식품 가공기기 및 금속 주방용기 제조업 외 3 종,"supergun, 껍질탈피기, 액체 청소기, 파이프청소기, 에어제트팬, 오토해머",055-291-8620,055-291-8614
141,(주)남부디자인,경상남도 창원시 의창구 동읍 의창대로421번길 77,간판 및 광고물 제조업 외 8 종,간판 및 광고물,055-237-0666,055-237-0664
142,(주)남부테크,경상남도 창원시 의창구 북면 무동리 38번지 외 5필지,금속 절삭기계 제조업,공작기계,,
143,(주)남북이엔지,경상남도 창원시 성산구 곰절길18번길 2 (성주동),배전반 및 전기 자동제어반 제조업 외 1 종,화염감지시스템,055-231-9227,055-231-9442
144,(주)남성기계,경상남도 창원시 의창구 차룡단지로 89 (팔용동),금속 절삭기계 제조업 외 4 종,"공작기계용S/G,단품외",055-255-9338,055-255-4538
145,(주)남양테크,경상남도 창원시 의창구 죽전로82번길 49 (팔용동),산업용 로봇 제조업,차체용접설비,055-292-0563,055-292-0281
146,(주)남영,"경상남도 창원시 성산구 창곡로 148 (신촌동, (주)네오프리텍)",그 외 자동차용 신품 부품 제조업,자동차부품 및 기계류,055-263-8079,055-264-8079
147,(주)네스,경상남도 창원시 의창구 대산면 대산북로 429,금속 절삭기계 제조업,산업기계부품,,
148,(주)네오일렉,경상남도 창원시 마산회원구 내서읍 광려천남로 59 경남로봇랜드재단 615호,일반용 전기 조명장치 제조업,LED조명기기,055-231-8204,055-231-8205
149,(주)네오플라테크,경상남도 창원시 마산회원구 자유무역3길 180 (양덕동) 표준공장 7호동 3층,기타 기계.장비 조립용 플라스틱 제품 제조업,세탁기 및  냉장고 케이스,070-4875-5480,070-8255-7772
150,(주)네오헬스테크널러지,경상남도 창원시 마산회원구 봉암북7길 21 (봉암동) 경남지능형홈산업화센터 (기업입주동3) 6동 601호,컴퓨터 제조업 외 1 종,"싱클보드컴퓨터, 통합시험장비, 데이터획득, 처리장치",055-715-5503,055-715-5504
151,(주)넥셈,경상남도 창원시 성산구 곰절길27번길 1 (성주동),그 외 기타 특수목적용 기계 제조업 외 1 종,패이스트휠,055-256-6991,30334426391
152,(주)노아엑츄에이션 창원지사,경상남도 창원시 의창구 창원대로18번길 22 (팔용동) 경남테크노파크 본부동 403호,산업용 로봇 제조업,"액추에이터, 산업용 로봇 설계",02-680-3400,032-673-4266
153,(주)노아텍트라,"경상남도 창원시 마산합포구 진북면 진함로 349, (추곡리818)",기체 펌프 및 압축기 제조업 외 4 종,기체펌프 및 압축기 제조,055-271-1410,055-722-7213
154,(주)녹원,"경상남도 창원시 성산구 월림로 17-25 (신촌동, (주)수덕산업기계)",건설 및 채광용 기계장비 제조업 외 2 종,"건설기계,중장비유공압제관",055-238-9611,055-238-9615
155,(주)뉴템즈,"경상남도 창원시 성산구 공단로21번길 28 (신촌동, (주)뉴템즈)",산업용 냉장 및 냉동 장비 제조업 외 2 종,"산업용 냉동기,큼속탱크",055-286-1530,055-286-5297
156,(주)다민,경상남도 창원시 성산구 공단로98번길 9 (신촌동),자동차 엔진용 신품 부품 제조업,자동차부품,055-252-1229,055-252-8438
157,(주)다산,경상남도 창원시 마산회원구 자유무역3길 66 (양덕동),그 외 기타 특수목적용 기계 제조업 외 1 종,SCROLL COMPRESSOR,055-262-1171,055-252-6430
158,(주)다산정밀,"경상남도 창원시 성산구 완암로 50, 메카동 10층 1005 (성산동, SK테크노파크)",기타 광학기기 제조업,광학렌즈,031-237-8307,
